sigla,nome_munic,geocodig_m,imoveis_car,area_car
AC,Acrelândia,1200013,2569,213947.4162
AC,Assis Brasil,1200054,339,94312.2865
AC,Brasiléia,1200104,1828,215975.7376
AC,Bujari,1200138,1488,299660.8868
AC,Capixaba,1200179,1228,179503.1167
AC,Cruzeiro do Sul,1200203,1571,675081.3795
AC,Epitaciolândia,1200252,1355,123797.28
AC,Feijó,1200302,3310,1245653.7599
AC,Jordão,1200328,33,171122.2776
AC,Mâncio Lima,1200336,212,111350.2432
AC,Manoel Urbano,1200344,1081,422200.7362
AC,Marechal Thaumaturgo,1200351,62,567665.3932
AC,Plácido de Castro,1200385,2617,171433.282
AC,Porto Acre,1200807,2781,310567.994
AC,Porto Walter,1200393,75,145033.1349
AC,Rio Branco,1200401,4601,592470.8482
AC,Rodrigues Alves,1200427,1215,146158.4387
AC,Santa Rosa do Purus,1200435,31,472033.7369
AC,Senador Guiomard,1200450,2303,202957.5827
AC,Sena Madureira,1200500,2103,2790850.2968
AC,Tarauacá,1200609,2528,1684798.3486
AC,Xapuri,1200708,806,1118460.1636
AL,Água Branca,2700102,762,13668.0795
AL,Anadia,2700201,269,10528.838
AL,Arapiraca,2700300,1561,8573.7885
AL,Atalaia,2700409,139,32092.4927
AL,Barra de Santo Antônio,2700508,30,7337.5641
AL,Barra de São Miguel,2700607,11,2456.9505
AL,Batalha,2700706,618,13292.0432
AL,Belém,2700805,124,2444.7183
AL,Belo Monte,2700904,684,17666.0304
AL,Boca da Mata,2701001,68,10142.1778
AL,Branquinha,2701100,26,5040.5477
AL,Cacimbinhas,2701209,654,14739.7581
AL,Cajueiro,2701308,32,8090.0928
AL,Campestre,2701357,12,3936.6837
AL,Campo Alegre,2701407,59,9875.0674
AL,Campo Grande,2701506,294,4103.3387
AL,Canapi,2701605,1131,23420.2371
AL,Capela,2701704,137,14737.4012
AL,Carneiros,2701803,539,6145.5427
AL,Chã Preta,2701902,191,11618.6352
AL,Coité do Nóia,2702009,1209,4005.7523
AL,Colônia Leopoldina,2702108,63,7275.0289
AL,Coqueiro Seco,2702207,8,939.0947
AL,Coruripe,2702306,858,60929.6269
AL,Craíbas,2702355,1583,11754.6666
AL,Delmiro Gouveia,2702405,510,23318.9965
AL,Dois Riachos,2702504,654,5770.1972
AL,Estrela de Alagoas,2702553,3086,16490.135
AL,Feira Grande,2702603,196,2505.5224
AL,Feliz Deserto,2702702,97,4717.7659
AL,Flexeiras,2702801,71,19675.8554
AL,Girau do Ponciano,2702900,424,17984.4901
AL,Ibateguara,2703007,63,12992.7604
AL,Igaci,2703106,3105,20576.5557
AL,Igreja Nova,2703205,2424,29894.5691
AL,Inhapi,2703304,1276,16741.8126
AL,Jacaré dos Homens,2703403,230,5840.2548
AL,Jacuípe,2703502,23,12467.6053
AL,Japaratinga,2703601,26,3968.142
AL,Jaramataia,2703700,133,3927.2389
AL,Jequiá da Praia,2703759,82,28172.9795
AL,Joaquim Gomes,2703809,131,11144.1139
AL,Jundiá,2703908,32,3037.2949
AL,Junqueiro,2704005,1552,15106.5997
AL,Lagoa da Canoa,2704104,375,2235.9996
AL,Limoeiro de Anadia,2704203,380,9810.3095
AL,Maceió,2704302,77,30421.52
AL,Major Isidoro,2704401,968,21808.1017
AL,Maragogi,2704500,76,23290.5565
AL,Maravilha,2704609,1073,17793.5842
AL,Marechal Deodoro,2704708,114,15796.3129
AL,Maribondo,2704807,223,6821.6062
AL,Mar Vermelho,2704906,225,5470.8852
AL,Mata Grande,2705002,2381,29932.5201
AL,Matriz de Camaragibe,2705101,39,21283.0986
AL,Messias,2705200,22,5844.5447
AL,Minador do Negrão,2705309,421,7550.0773
AL,Monteirópolis,2705408,161,3418.3404
AL,Murici,2705507,77,26664.9137
AL,Novo Lino,2705606,38,10608.3191
AL,Olho d'Água das Flores,2705705,955,7565.0892
AL,Olho d'Água do Casado,2705804,293,14001.1647
AL,Olho d'Água Grande,2705903,797,7100.4002
AL,Olivença,2706000,695,5139.8314
AL,Ouro Branco,2706109,1415,14381.574
AL,Palestina,2706208,106,1158.0965
AL,Palmeira dos Índios,2706307,2360,20955.0748
AL,Pão de Açúcar,2706406,1292,31459.7866
AL,Pariconha,2706422,87,1418.8294
AL,Paripueira,2706448,26,4189.8505
AL,Passo de Camaragibe,2706505,49,18918.4891
AL,Paulo Jacinto,2706604,97,2893.1611
AL,Penedo,2706703,1141,50119.7782
AL,Piaçabuçu,2706802,234,6189.8137
AL,Pilar,2706901,84,14877.277
AL,Pindoba,2707008,79,6220.2572
AL,Piranhas,2707107,1041,21263.1532
AL,Poço das Trincheiras,2707206,2110,18768.7114
AL,Porto Calvo,2707305,55,24481.3329
AL,Porto de Pedras,2707404,60,11312.3264
AL,Porto Real do Colégio,2707503,898,14546.8786
