CO_MUN_IBGE_7,NO_MUN_MIN,SG_UF
2103158,Centro do Guilherme,MA
2103174,Centro Novo do Maranhão,MA
2103208,Chapadinha,MA
2103257,Cidelândia,MA
2103307,Codó,MA
2103406,Coelho Neto,MA
2103505,Colinas,MA
2103554,Conceição do Lago-Açu,MA
2103604,Coroatá,MA
2103703,Cururupu,MA
2103752,Davinópolis,MA
2103802,Dom Pedro,MA
2103901,Duque Bacelar,MA
2104008,Esperantinópolis,MA
2104057,Estreito,MA
2104073,Feira Nova do Maranhão,MA
2104081,Fernando Falcão,MA
2104099,Formosa da Serra Negra,MA
2104107,Fortaleza dos Nogueiras,MA
2104206,Fortuna,MA
2104305,Godofredo Viana,MA
2104404,Gonçalves Dias,MA
2104503,Governador Archer,MA
2104552,Governador Edison Lobão,MA
2104602,Governador Eugênio Barros,MA
2104628,Governador Luiz Rocha,MA
2104651,Governador Newton Bello,MA
2104677,Governador Nunes Freire,MA
2104701,Graça Aranha,MA
2104800,Grajaú,MA
2104909,Guimarães,MA
2105005,Humberto de Campos,MA
2105104,Icatu,MA
2105153,Igarapé do Meio,MA
2105203,Igarapé Grande,MA
2105302,Imperatriz,MA
2105351,Itaipava do Grajaú,MA
2105401,Itapecuru Mirim,MA
2105427,Itinga do Maranhão,MA
2105450,Jatobá,MA
2105476,Jenipapo dos Vieiras,MA
2105500,João Lisboa,MA
2105609,Joselândia,MA
2105658,Junco do Maranhão,MA
2105708,Lago da Pedra,MA
2105807,Lago do Junco,MA
2105906,Lago Verde,MA
2105922,Lagoa do Mato,MA
2105948,Lago dos Rodrigues,MA
2105963,Lagoa Grande do Maranhão,MA
2105989,Lajeado Novo,MA
2106003,Lima Campos,MA
2106102,Loreto,MA
2106201,Luís Domingues,MA
2106300,Magalhães de Almeida,MA
2106326,Maracaçumé,MA
2106359,Marajá do Sena,MA
2106375,Maranhãozinho,MA
2106409,Mata Roma,MA
2106508,Matinha,MA
2106607,Matões,MA
2106631,Matões do Norte,MA
2106672,Milagres do Maranhão,MA
2106706,Mirador,MA
2106755,Miranda do Norte,MA
